ComputerTime,AIN0
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
1689275759750,10.1224
